# CSV file to store all the diseases with their symptoms
1, acne, "uninflamed blackheads, pus-filled pimples, large red tender bumps"
2, acute respiratory distress syndrome, "labored rapid breathing, muscle fatigue, general weakness, low blood pressure, discolored skin or nails, dry hacking cough, fever, headache, fast pulse rate, mental confusion"
3, Addison's disease, "weakness in muscles, fatigue, tiredness, darkening in skin color, weight loss, decreased appetite, decreased blood pressure, low blood sugar levels, fainting spells, sores in mouth, salt cravings, nausea, vomiting, irritability, depression"
4, Addisonian crisis, "mental status changes, confusion, fear, restlessness, loss of consciousness, high fever, sudden pain in lower back belly or legs"
5, AIDS, "fever, swollen lymph nodes, joint and muscle aches, sore throat, chills, night sweats, mouth ulcers"
6, allergy, "nasal congestion, itchy or watery eyes, sneezing, stuffy or runny nose, scratchy or sore throat, throat clearing, cough from postnasal drip"
7, alzheimers, "loss of orientation, agitation, irritability, quarrelsomeness, diminishing ability to care for oneself, inabiltity to dress appropriately"
8, anemia, "feeling tired, lightheadedness, fainting, weakness, fatigue, decreased energy, paleness, palpitations, rapid heart rate, shortness of breath"
9, Angina Pectoris, "chest pressure that radiates down arm, shortness of breath, sweating, pain, heaviness tightness"
10, anorexia, "underweight, depression, social withdrawal, irritable, easily upset, disrupted sleep, fatigue, decreased attention and concentration"
11, anxiety disorder, "restlessness, feeling edgy, becoming tired easily, fatigue, trouble concentrating, memory or attention problems, mind going blank, irritability, muscle tension, headaches, sleep problems"
12, appendicitis, "abdominal pain, loss of appetite, nausea, vomiting, fever, abdominal tenderness"
13, asthma, "shortness of breath, chest pain, cough"
14, beriberi, "shortness of breath, waking up breathless, rapid heart rate, swollen lower legs"
15, bipolar disorder, "elevated expansive irritable mood, racing thoughts, pressured speech, rapid excessive frenzied speaking, decreased need for sleep, grandiose ideas, beliefs of superiority, tangential speech, restlessness, decreased goal-directed activity, impulsivity, poor judgment, engaging in risky activity, spending sprees, promiscuity, excess desire for sex"
16, bird flu, "cough, diarrhea, respiratory difficulties, fever, headache, muscle aches, malaise, runny nose, sore throat"
17, boils, "infection in hair follicles"
18, bone cancer, "pain and swelling in affected bones, palpable hard mass in long bones, feeling tired, fatigue, easily broken bones, weight loss"
19, bone tumour, "dull ache in affected bone, weakened bone, severe pain"
20, botulism, "double vision, blurred vision, drooping eyelids, slurred speech, difficulty swallowing, dry mouth, muscle weakness"
21, bronchiolitis, "shortness of breath, wheezing, bluish appearance of skin, crackling or rattling sounds in lungs, fatigue, sunken ribs, nasal flaring, fast breathing, cough"
22, bulimia nervosa, "bingeing, purging, sore throat, discolored deteriorating teeth, abdominal pain, cramping, bloating, vomiting, swollen salivary glands, constipation, dehydration, dry skin, thinning hair"
23, cataract, "decrease in clarity of vision, loss of contrast sensitivity, disturbing glare in light"
24, chicken pox, "general weakness, fever, red spots"
25, chronic obstructive pulmonary disease, "cough, chest discomfort, shortness of breath, wheezing"
26, common wart, "fleshy painless growth on skin"
27, constipation, "infrequent bowel movements, straining when going to bathroom, hard or small faeces, incomplete evacuation after going to bathroom, lower abdominal discomfort, abdominal bloating, distension, anal bleeding, fissures, diarrhea, colonic perforation, psychological distress, obsession with having to go to bathroom, aggravation of diverticular disease, haemorrhoids, rectal prolapse"
28, Crohn's disease, "abdominal pain, bloody diarrhea, vomiting, fever, anal fistulae, perirectal abscesses, weight loss"
29, cystinuria, "blood in urine, flank pain, renal colic, intense cramping pain, obstructive uropathy, urinary tract infection"
30, dandruff, "reddish, scaly plaques on skin"
31, delirium, "confusion, memory loss, loss of muscle coordination, visual problems, rapid eye movement, double vision"
32, dementia, "forgetfulness, losing items, problems performing simple tasks or activities"
33, dengue, "headache, fever, exhaustion, severe muscle joint pain, swollen lymph nodes, rash, fever, itchy rash, headache"
34, diabetes, "dehydration, hunger, increased urination, increased thirst"
35, diarrhea, "bowel movements watery, inflammation, cramping abdominal pain"
36, dry beriberi, "decreased muscle function, tingling, loss of feeling in feet and hands, mental confusion, difficulty speaking, vomiting, involuntary eye movement, paralysis"
37, dyspepsia, "upper abdominal pain or discomfort, belching, nausea, vomiting, abdominal bloating, early satiety, abdominal distention, lower chest pain"
38, dysthymia, "loss of appetite, excessive hunger, insomnia, excess sleepiness, fatigue, slowness in activity and thought, low self-esteem, feelings of inadequacy, lack of concentration, inability to make decisions, hopelessness"
39, emphysema, "shortness of breath, wheezing"
40, enlarged prostate gland, "slow flow of urine, need to urinate urgently, difficulty starting urinary stream, urinary tract infection, blockage of urethra"
41, erectile dysfunction, "penis does not remain hard enough for completion of sex, penile erections are not hard enough for penetration, inability to obtain penile erection"
42, flu, "headache, body aches, fever, nasal congestion, runny nose, sneezing, cough, sore throat"
43, glaucoma, "haziness of vision, haloes around lights"
44, hepatitis B, "fatigue, loss of appetite, nausea, jaundice, yellowing of skin and eyes, pain in upper right abdomen"
45, hepatitis C, "fatigue, loss of appetite, muscle aches, fever"
46, high blood pressure, "dizziness, shortness of breath, headache, blurred vision, nosebleeds, blood in urine, fatigue, chest pain"
47, hives, "flaring, itching, swelling, reappearing welts"
48, hyperparathyroidism, "bone fractures, kidney stones, excessive urination, depression, lethargy, confusion, nausea, vomiting, pain in muscles or abdomen"
49, hyperthyroidism, "rapid heart rate, excessive sweating, intolerance to heat, tremors, nervousness, agitation, fatigue, weight loss, hair loss, increased appetite, inability to concentrate, frequent bowel movements, irregular or decreased menstrual blood flow"
50, hypothyroidism, "fatigue, depression, mild weight gain, cold intolerance, sleepiness, constipation, dry coarse hair, dry skin, muscle cramps, elevated blood cholesterol level"
51, hysterectomy, "heavy periods, pelvic pain, prolapse of uterus, cancer of womb ovaries or cervix"
52, indigestion, "upper abdominal pain or discomfort, belching, nausea, vomiting, abdominal bloating, early satiety, abdominal distention"
53, insomnia, "waking up unrefreshed, lack of sleep, daytime sleepiness, fatigue, mood changes, poor concentration and attention, anxiety, headaches, lack of energy, increased errors and mistakes"
54, jaundice, "yellow discoloration of skin mucous membranes and whites of eyes, light-colored skin, poor appetite, lethargy, excessive sleepiness, changes in muscle tone, listlessness, stiffness with arching of back, high-pitched crying, seizures"
55, keloid scar, "wounds raised shiny dome-shaped, scars pink to red"
56, lichen planus, "itching, large bumps with angular borders and violet colour"
57, macular degeneration, "blurred vision"
58, Mad Cow disease, "rapid mental deterioration"
59, malaria, "fever, chills, headache, nausea, vomiting, general weakness, body aches"
60, measles, "dry cough, conjunctivitis, runny nose, high fever"
